Year,Gender,Series,mean,ci_lower,ci_upper
2001,Male,Mean co-authored papers,3.21,3.02,3.4
2001,Male,Mean repeat co-authors,0.76,0.7,0.81
2001,Unknown,Authors (000s),0.02,0.02,0.02
2001,Unknown,Mean co-authors (degree),1.76,1.41,2.06
2001,Unknown,Mean co-authored papers,1.29,1,1.59
2001,Unknown,Mean repeat co-authors,0.24,0,0.47
2002,Any,Authors (000s),2.91,2.91,2.91
2002,Any,Mean co-authors (degree),2.96,2.85,3.08
2002,Any,Mean co-authored papers,3.04,2.89,3.21
2002,Any,Mean repeat co-authors,0.72,0.68,0.77
2002,Female,Authors (000s),0.54,0.54,0.54
2002,Female,Mean co-authors (degree),2.43,2.23,2.66
2002,Female,Mean co-authored papers,2.21,1.99,2.47
2002,Female,Mean repeat co-authors,0.5,0.41,0.58
2002,Male,Authors (000s),2.35,2.35,2.35
2002,Male,Mean co-authors (degree),3.09,2.95,3.21
2002,Male,Mean co-authored papers,3.25,3.08,3.43
2002,Male,Mean repeat co-authors,0.78,0.72,0.84
2002,Unknown,Authors (000s),0.03,0.03,0.03
2002,Unknown,Mean co-authors (degree),1.8,1.56,2.04
2002,Unknown,Mean co-authored papers,1.28,1.04,1.56
2002,Unknown,Mean repeat co-authors,0.2,0.04,0.4
2003,Any,Authors (000s),3.22,3.22,3.22
2003,Any,Mean co-authors (degree),2.99,2.88,3.08
2003,Any,Mean co-authored papers,3.01,2.88,3.13
2003,Any,Mean repeat co-authors,0.72,0.68,0.76
2003,Female,Authors (000s),0.61,0.61,0.61
2003,Female,Mean co-authors (degree),2.47,2.27,2.67
2003,Female,Mean co-authored papers,2.19,1.98,2.4
2003,Female,Mean repeat co-authors,0.5,0.42,0.59
2003,Male,Authors (000s),2.58,2.58,2.58
2003,Male,Mean co-authors (degree),3.12,2.97,3.24
2003,Male,Mean co-authored papers,3.22,3.04,3.39
2003,Male,Mean repeat co-authors,0.78,0.73,0.84
2003,Unknown,Authors (000s),0.03,0.03,0.03
2003,Unknown,Mean co-authors (degree),1.77,1.55,2.03
2003,Unknown,Mean co-authored papers,1.23,1.06,1.45
2003,Unknown,Mean repeat co-authors,0.16,0.03,0.35
2004,Any,Authors (000s),3.48,3.48,3.48
2004,Any,Mean co-authors (degree),3.09,2.99,3.2
2004,Any,Mean co-authored papers,3.06,2.93,3.22
2004,Any,Mean repeat co-authors,0.76,0.71,0.81
2004,Female,Authors (000s),0.68,0.68,0.68
2004,Female,Mean co-authors (degree),2.59,2.42,2.81
2004,Female,Mean co-authored papers,2.26,2.06,2.51
2004,Female,Mean repeat co-authors,0.53,0.45,0.62
2004,Male,Authors (000s),2.76,2.76,2.76
2004,Male,Mean co-authors (degree),3.23,3.11,3.36
2004,Male,Mean co-authored papers,3.29,3.14,3.43
2004,Male,Mean repeat co-authors,0.82,0.77,0.88
2004,Unknown,Authors (000s),0.04,0.04,0.04
2004,Unknown,Mean co-authors (degree),1.81,1.62,2.03
2004,Unknown,Mean co-authored papers,1.22,1.05,1.41
2004,Unknown,Mean repeat co-authors,0.16,0.03,0.32
2005,Any,Authors (000s),3.79,3.79,3.79
2005,Any,Mean co-authors (degree),3.14,3.03,3.25
2005,Any,Mean co-authored papers,3.08,2.94,3.25
